Trade Date,Ticker,Company,Title,Type,Price,Qty,Owned,Volume (trade day),Close Cost (month ago trade),Close Cost (two weeks ago trade),Close Cost (week ago trade),Close Cost (day befor trade),Close Cost (trade day),Close Cost (day after trade),Close Cost (week after trade),Close Cost (two weeks after trade),Close Cost (month after trade),Profitability (day after trade),Profitability (week after trade),Profitability (two weeks after trade),Profitability (month after trade),Mean_AR,Cumulative_AR,Beta_p_value
2024-01-02,DIS,Walt Disney Co,"Sr. EVP, CHRO",S - Sale,90.11,-898.0,"2,637",10587600.0,90.88721466064452,93.08617401123048,90.13294219970705,89.89510345458984,89.89510345458984,90.82666015625,88.86444854736328,92.21408081054688,96.2574234008789,0.0103627079324818,-0.011465083943612,0.0257964813081109,0.0707749332476486,0.0025125280972791825,0.02010022477823346,0.0012384992573138125
2024-01-02,FRSH,Freshworks Inc.,Dir,S - Sale+OE,22.39,-4690.0,"17,387",2803700.0,20.6299991607666,24.479999542236328,23.84000015258789,22.07999992370605,22.07999992370605,21.51000022888184,22.86000061035156,23.280000686645508,22.32999992370605,-0.0258152036591377,0.035326118176661,0.0543478608281642,0.0113224638072389,-0.0022763673724727138,-0.01821093897978171,0.012308471248695397
2023-12-29,BSX,Boston Scientific Corp,"EVP, Group Pres, Cardiology",S - Sale+OE,57.5,-81940.0,"257,480",10667400.0,55.43999862670898,55.810001373291016,55.900001525878906,56.27999877929688,57.810001373291016,57.84000015258789,58.15999984741211,59.93999862670898,61.310001373291016,0.0005189202315213,0.0060542893237639,0.0368447881477141,0.0605431571848577,0.012608548119278145,0.06304274059639073,0.000232996322368039
2023-12-28,AISP,"Airship Ai Holdings, Inc.","CEO, COB of the BOD, 10%",P - Purchase,1.92,60000.0,"3,444,353",1174600.0,10.65999984741211,10.0,6.489999771118164,2.5799999237060547,1.940000057220459,1.7000000476837158,2.109999895095825,1.5499999523162842,1.5,-0.1237113414731564,0.0876287798253645,-0.2010309759799433,-0.2268041465168152,0.010294037412241918,0.061764224473451514,0.6729265375878117
2023-12-28,ELVN,"Enliven Therapeutics, Inc.",COO,S - Sale,15.02,-13540.0,"416,124",100800.0,11.5600004196167,11.829999923706056,12.920000076293944,14.81999969482422,14.56999969482422,13.84000015258789,14.59000015258789,11.470000267028809,16.549999237060547,-0.0501029209009283,0.0013727150434173,-0.2127659226305021,0.1358956474748379,-0.011154140360121233,-0.0669248421607274,0.10430620841382796
2023-12-28,SLND,"Southland Holdings, Inc.","Co-COO, EVP, 10%",P - Purchase,5.14,832.0,"6,981,196",51400.0,5.510000228881836,4.960000038146973,5.019999980926514,5.070000171661377,5.070000171661377,5.159999847412109,5.309999942779541,5.090000152587891,4.909999847412109,0.0177514147344181,0.0473372313594062,0.0039447692799505,-0.0315582482903225,0.013475269325424406,0.08085161595254643,0.5582074249827877
2023-12-28,SLND,"Southland Holdings, Inc.","Pres, CEO, 10%",P - Purchase,5.19,8128.0,"24,386,364",51400.0,5.510000228881836,4.960000038146973,5.019999980926514,5.070000171661377,5.070000171661377,5.159999847412109,5.309999942779541,5.090000152587891,4.909999847412109,0.0177514147344181,0.0473372313594062,0.0039447692799505,-0.0315582482903225,0.013475269325424406,0.08085161595254643,0.5582074249827877
2023-12-28,ELVN,"Enliven Therapeutics, Inc.",CFO,S - Sale+OE,15.02,-11870.0,0,100800.0,11.5600004196167,11.829999923706056,12.920000076293944,14.81999969482422,14.56999969482422,13.84000015258789,14.59000015258789,11.470000267028809,16.549999237060547,-0.0501029209009283,0.0013727150434173,-0.2127659226305021,0.1358956474748379,-0.011154140360121233,-0.0669248421607274,0.10430620841382796
2024-01-02,AADI,"Aadi Bioscience, Inc.",Exec COB,S - Sale,2.06,-42000.0,"2,135,241",607117.0,5.130000114440918,2.2100000381469727,2.009999990463257,2.049999952316284,2.049999952316284,1.950000047683716,1.7699999809265137,1.6399999856948853,1.7400000095367432,-0.0487804424188298,-0.1365853550744721,-0.1999999883698251,-0.151219487800121,0.028743939216092498,0.22995151372873998,0.2972216950267626
2023-12-27,ALVR,"Allovir, Inc.",Chief Accounting Officer,S - Sale,0.74,-28335.0,"97,500",290006.0,35.41999816894531,51.05999755859375,51.05999755859375,17.26839828491211,16.079299926757812,15.639999389648438,14.706198692321776,16.099998474121094,16.26099967956543,-0.027320874609617,-0.0853955856716769,0.0012872791388657,0.011300227847933,0.002651733472232214,0.018562134305625498,0.7576930428719493
